date,item,average_kg_price
19-06-2019,APIO,21.875
19-06-2019,ARVEJA,31.5
19-06-2019,BATATA,16.61
19-06-2019,BERENJENA,34.58125
19-06-2019,BROCOLI,26.0
19-06-2019,BROTE SOJA,70.0
19-06-2019,CEB.VERDEO,27.75
19-06-2019,CEBOLLA,12.027777777777779
19-06-2019,CHAUCHA,30.5
19-06-2019,CHOCLO,41.11166666666667
19-06-2019,CIBOULLE,130.0
19-06-2019,CURCUMA,47.5
19-06-2019,ESCAROLA,16.0
19-06-2019,ESPARRAGO,148.75
19-06-2019,ESPINACA,34.0
19-06-2019,HINOJO,9.335
19-06-2019,HONGOS,258.3333333333333
19-06-2019,HOR.PRO.VS,70.0
19-06-2019,JENGIBRE,75.0
19-06-2019,KALE,60.0
19-06-2019,LECHUGA,20.03
19-06-2019,MANDIOCA,10.5
19-06-2019,MENTA,135.0
19-06-2019,OREGANO,130.0
19-06-2019,PACK CHOY,33.335
19-06-2019,PAPA,14.181000000000001
19-06-2019,PEPINO,30.6675
19-06-2019,PEREJIL,26.5
19-06-2019,PIMIENTO,40.5625
19-06-2019,PUERRO,32.5
19-06-2019,RABANITO,26.0
19-06-2019,RADICCHIO,90.0
19-06-2019,RADICHETA,25.0
19-06-2019,REMOLACHA,7.6675
19-06-2019,REP.BRUSEL,60.0
19-06-2019,REPOLLO,7.221666666666667
19-06-2019,ROMERO,130.0
19-06-2019,TOMATE,31.37238095238094
19-06-2019,TOMILLO,135.0
19-06-2019,ZANAHORIA,11.8625
19-06-2019,ZAP.GRANEL,13.0
19-06-2019,ZAPALLITO,12.975714285714286
19-06-2019,ZAPALLO,10.809285714285712
18-02-2019,ACELGA,16.89
18-02-2019,ACHICORIA,13.0
18-02-2019,ACUSAY,15.0
18-02-2019,AJO,70.763
18-02-2019,ALBAHACA,6.0
18-02-2019,APIO,32.5
18-02-2019,ARVEJA,22.25
18-02-2019,BATATA,20.5
18-02-2019,BERENJENA,19.75
18-02-2019,BERRO,26.0
18-02-2019,BROCOLI,40.0
18-02-2019,BROTE SOJA,39.5
18-02-2019,CEB.VERDEO,28.5
18-02-2019,CEBOLLA,10.666666666666666
18-02-2019,CHAUCHA,22.75
18-02-2019,CHOCLO,18.835
18-02-2019,CIBOULLE,160.0
18-02-2019,COLIFLOR,16.0
18-02-2019,CURCUMA,40.5
18-02-2019,ESCAROLA,24.5
18-02-2019,ESPINACA,55.0
18-02-2019,HABA,36.0
18-02-2019,HINOJO,9.335
18-02-2019,HONGOS,207.5
18-02-2019,JENGIBRE,77.5
18-02-2019,KALE,50.0
18-02-2019,LECHUGA,31.654500000000002
18-02-2019,MANDIOCA,12.145
18-02-2019,OREGANO,170.0
18-02-2019,PACK CHOY,40.0
18-02-2019,PAPA,7.862
18-02-2019,PEPINO,14.055
18-02-2019,PEREJIL,28.0
18-02-2019,PIMIENTO,22.333333333333332
18-02-2019,PUERRO,27.25
18-02-2019,RABANITO,32.0
18-02-2019,RADICCHIO,60.0
18-02-2019,RADICHETA,27.5
18-02-2019,REMOLACHA,13.165
18-02-2019,REPOLLO,8.502500000000001
18-02-2019,ROMERO,160.0
18-02-2019,RUCULA,50.0
18-02-2019,TOMATE,29.31041666666667
18-02-2019,TOMILLO,160.0
18-02-2019,ZANAHORIA,11.134
18-02-2019,ZAP.GRANEL,11.0
18-02-2019,ZAPALLITO,13.426666666666668
18-02-2019,ZAPALLO,16.380714285714284
16-01-2019,ACELGA,7.640000000000001
16-01-2019,ACHICORIA,17.189999999999998
16-01-2019,ACUSAY,13.75
16-01-2019,AJO,71.72800000000001
16-01-2019,ALBAHACA,8.5
16-01-2019,APIO,39.375
16-01-2019,ARVEJA,19.5
16-01-2019,BATATA,27.3625
16-01-2019,BERENJENA,9.5
16-01-2019,BROCOLI,33.0
16-01-2019,CEB.VERDEO,22.5
16-01-2019,CEBOLLA,9.208333333333334
16-01-2019,CHAUCHA,16.4375
16-01-2019,CHOCLO,17.06375
16-01-2019,COLIFLOR,10.665
16-01-2019,CURCUMA,40.0
16-01-2019,ESPINACA,38.0
16-01-2019,HINOJO,7.67
16-01-2019,HONGOS,216.5
16-01-2019,JENGIBRE,87.5
16-01-2019,KALE,55.0
16-01-2019,LECHUGA,18.604166666666668
16-01-2019,MANDIOCA,13.145
16-01-2019,OREGANO,185.0
16-01-2019,PACK CHOY,30.0
16-01-2019,PAPA,9.952142857142858
16-01-2019,PEPINO,14.0
16-01-2019,PEREJIL,25.625
16-01-2019,PIMIENTO,28.964
16-01-2019,PUERRO,34.5
16-01-2019,RABANITO,21.25
16-01-2019,RADICCHIO,92.0
16-01-2019,RADICHETA,28.75
16-01-2019,REMOLACHA,7.67
16-01-2019,REPOLLO,8.2525
16-01-2019,ROMERO,187.5
16-01-2019,RUCULA,105.0
16-01-2019,TOMATE,19.586923076923078
16-01-2019,TOMILLO,182.5
16-01-2019,ZANAHORIA,13.98
16-01-2019,ZAPALLITO,21.91
16-01-2019,ZAPALLO,18.38857142857143
28-10-2019,ACELGA,16.473333333333333
28-10-2019,ACHICORIA,11.5
28-10-2019,ACUSAY,22.0
28-10-2019,AJO,113.78062500000001
28-10-2019,ALBAHACA,13.0
28-10-2019,ALCAUCIL,30.625
28-10-2019,APIO,30.625
28-10-2019,ARVEJA,57.5
28-10-2019,BATATA,27.5
28-10-2019,BERENJENA,41.66625
28-10-2019,BERRO,30.0
28-10-2019,BROCOLI,43.0
28-10-2019,BROTE SOJA,90.0
28-10-2019,CEB.VERDEO,39.0
28-10-2019,CEBOLLA,26.45
28-10-2019,CHAUCHA,77.08333333333333
28-10-2019,CHOCLO,28.835
28-10-2019,CIBOULLE,120.0
28-10-2019,CILANDRO,110.0
28-10-2019,COLIFLOR,18.0
28-10-2019,CURCUMA,55.0
28-10-2019,ENDIBIA,49.0
28-10-2019,ESCAROLA,23.0
28-10-2019,ESPARRAGO,45.0
28-10-2019,ESPINACA,48.0
28-10-2019,HABA,17.8125
28-10-2019,HINOJO,13.665
28-10-2019,HONGOS,325.0
28-10-2019,JENGIBRE,92.5
28-10-2019,KALE,70.0
28-10-2019,LECHUGA,35.333124999999995
28-10-2019,MANDIOCA,18.75
28-10-2019,MENTA,110.0
28-10-2019,OREGANO,110.0
28-10-2019,PACK CHOY,35.0
28-10-2019,PAPA,10.569166666666666
28-10-2019,PEPINO,25.6225
28-10-2019,PEREJIL,30.75
28-10-2019,PIMIENTO,58.4125
28-10-2019,PUERRO,32.25
28-10-2019,RABANITO,26.0
28-10-2019,RADICCHIO,94.0
28-10-2019,RADICHETA,32.5
28-10-2019,REMOLACHA,9.3325
28-10-2019,REPOLLO,9.446666666666667
28-10-2019,ROMERO,110.0
28-10-2019,RUCULA,140.0
